dataset,method,sample_rate,hop,budget,coreness_loss,follower_computation
strike,GCN_sample,1.0,0,0,0.0,24.0
strike,GCN_sample,1.0,0,1,4.0,4.0
strike,GCN_sample,1.0,0,2,4.0,0.0
strike,GCN_sample,1.0,0,3,4.0,0.0
strike,GCN_sample,1.0,0,4,5.0,1.0
strike,GCN_sample,1.0,0,5,5.0,0.0
strike,GCN_sample,1.0,0,6,8.0,3.0
strike,GCN_sample,1.0,0,7,7.0,0.0
strike,GCN_sample,1.0,0,8,6.0,0.0
strike,GCN_sample,1.0,0,9,7.0,2.0
strike,GCN_sample,1.0,0,10,5.0,0.0
karate,GCN_sample,1.0,0,0,0.0,34.0
karate,GCN_sample,1.0,0,1,18.0,18.0
karate,GCN_sample,1.0,0,2,27.0,10.0
karate,GCN_sample,1.0,0,3,41.0,15.0
karate,GCN_sample,1.0,0,4,44.0,5.0
karate,GCN_sample,1.0,0,5,44.0,3.0
karate,GCN_sample,1.0,0,6,44.0,1.0
karate,GCN_sample,1.0,0,7,46.0,3.0
karate,GCN_sample,1.0,0,8,45.0,1.0
karate,GCN_sample,1.0,0,9,41.0,0.0
karate,GCN_sample,1.0,0,10,40.0,1.0
mexican,GCN_sample,1.0,0,0,0.0,35.0
mexican,GCN_sample,1.0,0,1,27.6,27.6
mexican,GCN_sample,1.0,0,2,29.9,3.3
mexican,GCN_sample,1.0,0,3,30.9,2.0
mexican,GCN_sample,1.0,0,4,35.8,6.0
mexican,GCN_sample,1.0,0,5,36.4,2.7
mexican,GCN_sample,1.0,0,6,34.3,0.0
mexican,GCN_sample,1.0,0,7,32.3,1.0
mexican,GCN_sample,1.0,0,8,29.4,0.0
mexican,GCN_sample,1.0,0,9,31.9,3.6
mexican,GCN_sample,1.0,0,10,27.9,0.0
football,GCN_sample,1.0,0,0,0.0,115.0
football,GCN_sample,1.0,0,1,6.0,6.0
football,GCN_sample,1.0,0,2,7.5,2.0
football,GCN_sample,1.0,0,3,8.5,1.1
football,GCN_sample,1.0,0,4,11.4,3.1
football,GCN_sample,1.0,0,5,18.6,7.2
football,GCN_sample,1.0,0,6,26.5,8.1
football,GCN_sample,1.0,0,7,34.3,8.5
football,GCN_sample,1.0,0,8,46.2,13.0
football,GCN_sample,1.0,0,9,46.5,1.1
football,GCN_sample,1.0,0,10,67.8,21.7
mexican,GConvLSTM_partial,0.3,1,0,0.0,10.0
mexican,GConvLSTM_partial,0.3,1,1,25.4,7.1
mexican,GConvLSTM_partial,0.3,1,2,25.7,0.7
mexican,GConvLSTM_partial,0.3,1,3,27.1,1.5
mexican,GConvLSTM_partial,0.3,1,4,28.1,1.3
mexican,GConvLSTM_partial,0.3,1,5,31.0,1.7
mexican,GConvLSTM_partial,0.3,1,6,30.7,0.9
mexican,GConvLSTM_partial,0.3,1,7,28.8,0.7
mexican,GConvLSTM_partial,0.3,1,8,27.0,0.5
mexican,GConvLSTM_partial,0.3,1,9,25.8,0.3
mexican,GConvLSTM_partial,0.3,1,10,24.6,0.7
football,GConvLSTM_partial,0.5,1,0,0.0,57.0
football,GConvLSTM_partial,0.5,1,1,5.9,2.9
football,GConvLSTM_partial,0.5,1,2,8.8,1.6
football,GConvLSTM_partial,0.5,1,3,12.2,1.9
football,GConvLSTM_partial,0.5,1,4,17.1,2.5
football,GConvLSTM_partial,0.5,1,5,23.0,3.1
football,GConvLSTM_partial,0.5,1,6,30.2,3.9
football,GConvLSTM_partial,0.5,1,7,49.7,9.9
football,GConvLSTM_partial,0.5,1,8,63.4,7.2
football,GConvLSTM_partial,0.5,1,9,78.0,7.7
football,GConvLSTM_partial,0.5,1,10,88.0,5.7
karate,GConvLSTM_partial,0.2,2,0,0.0,6.0
karate,GConvLSTM_partial,0.2,2,1,9.6,2.1
karate,GConvLSTM_partial,0.2,2,2,14.6,1.7
karate,GConvLSTM_partial,0.2,2,3,17.9,1.2
karate,GConvLSTM_partial,0.2,2,4,18.6,1.0
karate,GConvLSTM_partial,0.2,2,5,21.8,1.1
karate,GConvLSTM_partial,0.2,2,6,25.4,1.3
karate,GConvLSTM_partial,0.2,2,7,29.3,1.7
karate,GConvLSTM_partial,0.2,2,8,31.9,1.3
karate,GConvLSTM_partial,0.2,2,9,34.8,1.7
karate,GConvLSTM_partial,0.2,2,10,35.7,1.2
strike,GConvLSTM_partial,0.5,1,0,0.0,12.0
strike,GConvLSTM_partial,0.5,1,1,3.2,2.0
strike,GConvLSTM_partial,0.5,1,2,4.0,0.8
strike,GConvLSTM_partial,0.5,1,3,4.1,0.1
